payment_id,order_id,status,currency,gross_amount,fee_amount,tax_amount,captured_at_utc,settlement_id
pay_TX2nqFyKVnDXNJ,order_TU5LdKRW1dvex3,CAPTURED,INR,507.00,10.14,1.82,2026-09-02T04:56:47Z,demo_setl_ae383dc1b241e899
pay_TX2o72Ar0Hew4r,order_TU5LdKevZ2qBw7,CAPTURED,INR,433.00,8.66,1.56,2026-09-02T04:57:03Z,demo_setl_ae383dc1b241e899
pay_TX2oQaEg09QPQA,order_TU5LdKkR2gSVHD,CAPTURED,INR,544.00,10.88,1.96,2026-09-02T04:57:21Z,demo_setl_ae383dc1b241e899
pay_TX2pHJi0Cg8uE3,order_TU5LeW8H1wmOGp,CAPTURED,INR,729.00,14.58,2.62,2026-09-02T04:58:09Z,demo_setl_ae383dc1b241e899
pay_TX2pe4ySTnzzMV,order_TU5LeWC5B0Ggvr,CAPTURED,INR,766.00,15.32,2.76,2026-09-02T04:58:30Z,demo_setl_ae383dc1b241e899
pay_TX2pz9ZHb6u2qR,order_TU5LeagAxf808L,CAPTURED,INR,877.00,17.54,3.16,2026-09-02T04:58:49Z,demo_setl_ae383dc1b241e899
pay_TX2qMn8E0l95FT,order_TU5LebOrCnz07x,CAPTURED,INR,914.00,18.28,3.30,2026-09-02T04:59:11Z,demo_setl_ae383dc1b241e899
pay_TX2qnFJMqGEKta,order_TU5LebkYFXlWrh,CAPTURED,INR,840.00,16.80,3.02,2026-09-02T04:59:35Z,demo_setl_ae383dc1b241e899
pay_TX2rCkYV76KHJx,order_TU5LedRSWYiPx1,CAPTURED,INR,1025.00,20.50,3.70,2026-09-02T04:59:58Z,demo_setl_ae383dc1b241e899
pay_TX2rbAZwoDkB6c,order_TU5LedrLtSLNof,CAPTURED,INR,803.00,16.06,2.90,2026-09-02T05:00:21Z,demo_setl_ae383dc1b241e899
pay_TX2rp8Njfe9EOc,order_TU5LfgiaxoB1e9,CAPTURED,INR,988.00,19.76,3.56,2026-09-02T05:00:34Z,demo_setl_ae383dc1b241e899
pay_TX2s39Y5y7bvvI,order_TU5Lfhhg1rTn1a,CAPTURED,INR,951.00,19.02,3.42,2026-09-02T05:00:46Z,demo_setl_ae383dc1b241e899
pay_TX2sHGnnAEbt9k,order_TU5LflHePpsuwb,CAPTURED,INR,1284.00,25.68,4.62,2026-09-02T05:00:59Z,demo_setl_ae383dc1b241e899
pay_TX2sVQSvRsH1PJ,order_TU5LfloKI44vLX,CAPTURED,INR,1321.00,26.42,4.76,2026-09-02T05:01:12Z,demo_setl_ae383dc1b241e899
pay_TX2sqSGHsgDLEd,order_TU5LfpfDvMQ6da,CAPTURED,INR,1358.00,27.16,4.88,2026-09-02T05:01:32Z,demo_setl_ae383dc1b241e899
pay_TX2t6GBwpGaAJH,order_TU5LfppBO7i4OJ,CAPTURED,INR,1136.00,22.72,4.08,2026-09-02T05:01:46Z,demo_setl_bb09b59790c97b96
pay_TX2tLcFP4YIAAE,order_TU5LfpsDmiZrvy,CAPTURED,INR,1395.00,27.90,5.02,2026-09-02T05:02:00Z,demo_setl_bb09b59790c97b96
pay_TX2tZbxTOyfe4d,order_TU5Lh47e6fbFYO,CAPTURED,INR,1432.00,28.64,5.16,2026-09-02T05:02:13Z,demo_setl_bb09b59790c97b96
pay_TX2tngdSOHgIoR,order_TU5Lh5A0hJH7wE,CAPTURED,INR,1469.00,29.38,5.28,2026-09-02T05:02:26Z,demo_setl_bb09b59790c97b96
pay_TX2tz0kA6pyWyl,order_TU5Lh5Nh0Brh1M,CAPTURED,INR,1506.00,30.12,5.42,2026-09-02T05:02:36Z,demo_setl_bb09b59790c97b96
pay_TX2uD2j73J1JRc,order_TU5Lh8pptfVwng,CAPTURED,INR,1543.00,30.86,5.56,2026-09-02T05:02:49Z,demo_setl_bb09b59790c97b96
pay_TX2uWpy9u5zVqc,order_TU5LhACWWJU9Vo,CAPTURED,INR,1617.00,32.34,5.82,2026-09-02T05:03:07Z,demo_setl_bb09b59790c97b96
pay_TX2uneXfBvVYnL,order_TU5LhAgiM7Te1w,CAPTURED,INR,1580.00,31.60,5.68,2026-09-02T05:03:23Z,demo_setl_bb09b59790c97b96
pay_TX2v4qnmuzpooC,order_TU5LhCEzbjaWHf,CAPTURED,INR,1654.00,33.08,5.96,2026-09-02T05:03:39Z,demo_setl_bb09b59790c97b96
pay_TX2vTD6Tmfdzn4,order_TU5LiMNudatoNS,CAPTURED,INR,1950.00,39.00,7.02,2026-09-02T05:04:01Z,demo_setl_bb09b59790c97b96
pay_TX2vhRiKLbzncy,order_TU5LiMedckYrcb,CAPTURED,INR,1913.00,38.26,6.88,2026-09-02T05:04:14Z,demo_setl_bb09b59790c97b96
pay_TX2vyJPaxREb5I,order_TU5LiPgNCAj7O9,CAPTURED,INR,1987.00,39.74,7.16,2026-09-02T05:04:29Z,demo_setl_bb09b59790c97b96
pay_TX2wCVYmlL2aNn,order_TU5LiQDz8W57Jq,CAPTURED,INR,2024.00,40.48,7.28,2026-09-02T05:04:42Z,demo_setl_bb09b59790c97b96
pay_TX2wTE6s7aiZTp,order_TU5LiR2FXbCA5y,CAPTURED,INR,1765.00,35.30,6.36,2026-09-02T05:04:58Z,demo_setl_bb09b59790c97b96
pay_TX2whKsIbexUUy,order_TU5LiSMYrlHHPQ,CAPTURED,INR,1802.00,36.04,6.48,2026-09-02T05:05:10Z,demo_setl_bb09b59790c97b96
pay_TX2wsgchcGt4XD,order_TU5LiSjWOjZeKB,CAPTURED,INR,2098.00,41.96,7.56,2026-09-02T05:05:21Z,demo_setl_bb09b59790c97b96
pay_TX2x7D2e0526k8,order_TU5Ljf5sUnvQAU,CAPTURED,INR,2135.00,42.70,7.68,2026-09-02T05:05:34Z,demo_setl_bb09b59790c97b96
pay_TX2xV5tOVF7Paw,order_TU5Ljg9peOpDzv,CAPTURED,INR,2061.00,41.22,7.42,2026-09-02T05:05:56Z,demo_setl_bb09b59790c97b96
pay_TX2xivo1MbYFjE,order_TU5Ljh2bP2B6jq,CAPTURED,INR,2209.00,44.18,7.96,2026-09-02T05:06:09Z,demo_setl_bb09b59790c97b96
pay_TX2y3Hv4fN6Ttq,order_TU5Ljjq8fB5jEN,CAPTURED,INR,2246.00,44.92,8.08,2026-09-02T05:06:27Z,demo_setl_bb09b59790c97b96
